BIN,BBL,year,affordability_flag
3029966,3012050028,2018,4
3030845,3012230053,2018,4
3049319,3017710005,2018,0
3029554,3011770030,2018,4
2097215,2029610025,2018,4
1062245,1020840049,2018,3
1062248,1020840053,2018,3
2009684,2029310013,2018,4
2009657,2029290078,2018,4
2009779,2029350028,2018,4
4457811,4161310001,2018,4
4457812,4161310001,2018,4
4457813,4161310001,2018,4
2092758,2036420001,2018,4
4298968,4156100001,2018,4
2003313,2025180001,2018,4
3057840,3020190040,2018,4
4258806,4119620043,2018,3
4239964,4111310006,2018,4
4256293,4117930074,2018,4
4255709,4117750206,2018,4
4255925,4117810267,2018,4
4253189,4116990051,2018,4
4255686,4117740550,2018,4
4255693,4117740559,2018,4
4260020,4119960131,2018,4
4259913,4119920097,2018,4
4209651,4098010002,2018,4
4217310,4102060037,2018,4
4220759,4103660143,2018,4
4259391,4119760045,2018,3
4247693,4114790029,2018,4
4215402,4100810019,2018,4
4254971,4117550005,2018,4
4262782,4121060024,2018,4
4221542,4104110006,2018,3
4435310,4124580005,2018,4
2014855,2032210015,2018,4
2013731,2031580043,2018,4
2008111,2028440033,2018,4
2028634,2039200029,2018,4
2028633,2039200024,2018,4
2023838,2037390067,2018,4
2023962,2037420070,2018,4
2007297,2027860002,2018,4
2003971,2025820034,2018,4
2014736,2032180009,2018,4
2023773,2037380033,2018,4
2002945,2024780012,2018,4
2027473,2038660027,2018,4
2027474,2038660029,2018,4
2009317,2028880028,2018,4
2092398,2031520018,2018,4
2092399,2031520018,2018,4
2092397,2031520018,2018,4
2004412,2026230054,2018,4
2023756,2037370032,2018,4
2007304,2027860030,2018,4
2009720,2029320015,2018,4
2007199,2027830042,2018,4
2007276,2027850024,2018,4
2002729,2024560023,2018,4
2007976,2028310024,2018,4
2007965,2028300013,2018,4
2002738,2024560055,2018,4
2003959,2025810028,2018,4
2003958,2025810026,2018,4
2004426,2026230180,2018,4
2008210,2028500016,2018,4
1026922,1010720001,2018,0
1079516,1012070001,2018,4
1082652,1012070001,2018,4
1032545,1012240058,2018,4
1053389,1017210003,2018,4
1053254,1017180027,2018,4
1059392,1019540055,2018,4
1082693,1019130040,2018,4
1058098,1019160025,2018,4
1057955,1019130040,2018,4
1057707,1019070008,2018,4
3056374,3019690022,2018,0
1082646,1010410011,2018,4
1055056,1018250059,2018,4
1089438,1010907502,2018,0
1085140,1010680003,2018,0
3033846,3012890001,2018,0
3322633,3018440050,2018,4
3052406,3018340072,2018,4
1063106,1021290046,2018,4
1026556,1010570013,2018,4
3116967,3050910037,2018,4
3010685,3007180030,2018,4
3010686,3007180032,2018,4
3012678,3007750063,2018,4
3030837,3012230042,2018,4
3030841,3012230047,2018,4
3031169,3012320006,2018,4
3031165,3012320001,2018,4
3031465,3012390014,2018,4
3031464,3012390013,2018,4
3031426,3012380040,2018,4
3030347,3012120063,2018,4
3037201,3013870007,2018,4
3037444,3013930058,2018,4
3115515,3050420035,2018,4
3028306,3011490052,2018,4
3030569,3012170007,2018,4
3030858,3012240002,2018,4
3029601,3011780051,2018,4
3059262,3021140001,2018,4
3059283,3021140033,2018,4
3322099,3017680078,2018,4
3049199,3017680073,2018,4
3030775,3012220041,2018,4
3037291,3013890020,2018,4
3048703,3017570018,2018,4
3029013,3011630054,2018,4
3031299,3012350050,2018,4
3043934,3016180008,2018,4
3043658,3016120049,2018,4
3028683,3011560067,2018,4
3324413,3011760009,2018,4
3032190,3012530017,2018,4
3030996,3012270014,2018,4
3338633,3017720010,2018,4
3043506,3016090001,2018,4
3043571,3016090079,2018,4
3048911,3017610034,2018,4
3048858,3017600051,2018,4
3048924,3017610056,2018,4
3043006,3015910017,2018,4
3324414,3011760009,2018,4
2047168,2042300015,2018,4
4432208,4023220001,2018,4
1052416,1016550023,2018,4
1051782,1016280002,2018,4
1051825,1016280103,2018,4
