year,fc_geoid,fc_geo_type,census_denom_year,crime_prop_num,crime_viol_num,crime_all_num,population,crime_prop_rt,crime_viol_rt,crime_all_rt
2006,36005000100,tract,2000,1,4,5,12780,0.078247261,0.312989045,0.391236307
2006,36005000200,tract,2000,34,23,57,3545,9.590973202,6.488011283,16.07898449
2006,36005000400,tract,2000,38,12,50,3314,11.46650573,3.621001811,15.08750754
2006,36005001100,tract,2000,21,25,46,559,37.56708408,44.72271914,82.28980322
2006,36005001500,tract,2000,2,2,4,19,105.2631579,105.2631579,210.5263158
2006,36005001600,tract,2000,54,49,103,5237,10.3112469,9.356501814,19.66774871
2006,36005001700,tract,2000,26,14,40,1006,25.84493042,13.91650099,39.76143141
2006,36005002000,tract,2000,65,46,111,9068,7.16806352,5.072783414,12.24084693
2006,36005002300,tract,2000,15,23,38,4338,3.457814661,5.30198248,8.759797142
2006,36005002400,tract,2000,6,1,7,0,NA,NA,NA
2006,36005002500,tract,2000,18,45,63,5109,3.523194363,8.807985907,12.33118027
2006,36005002701,tract,2000,7,34,41,3033,2.307945928,11.21002308,13.51796901
2006,36005002702,tract,2000,30,28,58,4736,6.334459459,5.912162162,12.24662162
2006,36005002800,tract,2000,64,22,86,5718,11.19272473,3.847499126,15.04022385
2006,36005003100,tract,2000,21,9,30,1478,14.20838972,6.089309878,20.29769959
2006,36005003300,tract,2000,22,20,42,3116,7.060333761,6.418485237,13.478819
2006,36005003500,tract,2000,15,33,48,3473,4.319032537,9.501871581,13.82090412
2006,36005003600,tract,2000,66,36,102,7529,8.766104396,4.781511489,13.54761589
2006,36005003700,tract,2000,11,12,23,478,23.0125523,25.10460251,48.11715481
2006,36005003800,tract,2000,3,2,5,1263,2.375296912,1.583531275,3.958828187
2006,36005003900,tract,2000,75,110,185,6022,12.45433411,18.26635669,30.7206908
2006,36005004001,tract,2000,10,5,15,1420,7.042253521,3.521126761,10.56338028
2006,36005004002,tract,2000,23,5,28,1,23000,5000,28000
2006,36005004100,tract,2000,52,62,114,5240,9.923664122,11.83206107,21.75572519
2006,36005004300,tract,2000,52,51,103,4789,10.85821675,10.64940489,21.50762163
2006,36005004400,tract,2000,39,28,67,4671,8.349389852,5.99443374,14.34382359
2006,36005004600,tract,2000,69,56,125,1428,48.31932773,39.21568627,87.53501401
2006,36005004700,tract,2000,29,33,62,5387,5.383330239,6.125858548,11.50918879
2006,36005004800,tract,2000,36,62,98,3678,9.787928222,16.85698749,26.64491572
2006,36005004900,tract,2000,32,16,48,246,130.0813008,65.04065041,195.1219512
2006,36005005000,tract,2000,80,109,189,10740,7.448789572,10.14897579,17.59776536
2006,36005005200,tract,2000,17,14,31,2186,7.776761208,6.404391583,14.18115279
2006,36005005301,tract,2000,26,9,35,34,764.7058824,264.7058824,1029.411765
2006,36005005302,tract,2000,23,30,53,4161,5.527517424,7.209805335,12.73732276
2006,36005005400,tract,2000,57,41,98,5550,10.27027027,7.387387387,17.65765766
2006,36005005600,tract,2000,37,24,61,2710,13.65313653,8.856088561,22.50922509
2006,36005005700,tract,2000,40,16,56,858,46.62004662,18.64801865,65.26806527
2006,36005005800,tract,2000,20,12,32,5,4000,2400,6400
2006,36005005901,tract,2000,35,30,65,4972,7.039420756,6.03378922,13.07320998
2006,36005005902,tract,2000,24,19,43,2682,8.948545861,7.084265474,16.03281133
2006,36005006000,tract,2000,19,6,25,1081,17.57631822,5.550416281,23.12673451
2006,36005006100,tract,2000,46,36,82,4039,11.38895766,8.913097301,20.30205496
2006,36005006200,tract,2000,31,21,52,6399,4.844506954,3.281762775,8.12626973
2006,36005006400,tract,2000,29,12,41,3967,7.310310058,3.024955886,10.33526594
2006,36005006500,tract,2000,118,54,172,4655,25.349087,11.60042965,36.94951665
2006,36005006600,tract,2000,37,11,48,4113,8.995866764,2.674446876,11.67031364
2006,36005006700,tract,2000,55,63,118,6491,8.473270682,9.705746418,18.1790171
2006,36005006800,tract,2000,31,19,50,3209,9.660330321,5.920847616,15.58117794
2006,36005006900,tract,2000,43,37,80,4323,9.946796206,8.558871154,18.50566736
2006,36005007000,tract,2000,40,24,64,4160,9.615384615,5.769230769,15.38461538
2006,36005007100,tract,2000,48,44,92,1885,25.46419098,23.34217507,48.80636605
2006,36005007200,tract,2000,43,23,66,5073,8.476246797,4.533806426,13.01005322
2006,36005007300,tract,2000,33,28,61,3248,10.16009852,8.620689655,18.78078818
2006,36005007400,tract,2000,26,10,36,3503,7.422209535,2.854695975,10.27690551
2006,36005007500,tract,2000,30,31,61,4688,6.399317406,6.612627986,13.01194539
2006,36005007700,tract,2000,17,16,33,1307,13.006886,12.24177506,25.24866106
2006,36005007800,tract,2000,54,32,86,6171,8.750607681,5.185545292,13.93615297
2006,36005007900,tract,2000,50,72,122,6598,7.578053956,10.9123977,18.49045165
2006,36005008100,tract,2000,32,5,37,0,NA,NA,NA
2006,36005008300,tract,2000,36,39,75,6204,5.80270793,6.286266925,12.08897485
2006,36005008400,tract,2000,13,3,16,2079,6.253006253,1.443001443,7.696007696
2006,36005008500,tract,2000,43,35,78,5428,7.921886514,6.448047163,14.36993368
2006,36005008600,tract,2000,16,18,34,4381,3.652134216,4.108650993,7.760785209
2006,36005008700,tract,2000,45,55,100,5203,8.648856429,10.57082452,19.21968095
2006,36005008800,tract,2000,19,21,40,3523,5.393130854,5.960828839,11.35395969
2006,36005008900,tract,2000,32,46,78,2886,11.08801109,15.93901594,27.02702703
2006,36005009100,tract,2000,27,7,34,81,333.3333333,86.41975309,419.7530864
2006,36005009200,tract,2000,58,34,92,4877,11.8925569,6.971498872,18.86405577
2006,36005009400,tract,2000,7,3,10,1600,4.375,1.875,6.25
2006,36005009700,tract,2000,57,102,159,133,428.5714286,766.9172932,1195.488722
