"","year","fc_geoid","fc_geo_type","violation_class","viol"
"1",2012,"101","cd","A",23
"2",2012,"101","cd","B",129
"3",2012,"101","cd","C",48
"4",2012,"101","sba","A",281
"5",2012,"101","sba","B",1023
"6",2012,"101","sba","C",290
"7",2012,"102","cd","A",260
"8",2012,"102","cd","B",900
"9",2012,"102","cd","C",242
"10",2012,"102","sba","A",548
"11",2012,"102","sba","B",1735
"12",2012,"102","sba","C",703
"13",2012,"103","cd","A",546
"14",2012,"103","cd","B",1734
"15",2012,"103","cd","C",708
"16",2012,"103","sba","A",413
"17",2012,"103","sba","B",1399
"18",2012,"103","sba","C",372
"19",2012,"104","cd","A",340
"20",2012,"104","cd","B",1171
"21",2012,"104","cd","C",324
"22",2012,"104","sba","A",262
"23",2012,"104","sba","B",763
"24",2012,"104","sba","C",193
"25",2012,"105","cd","A",78
"26",2012,"105","cd","B",293
"27",2012,"105","cd","C",61
"28",2012,"105","sba","A",392
"29",2012,"105","sba","B",1361
"30",2012,"105","sba","C",316
"31",2012,"106","cd","A",258
"32",2012,"106","cd","B",702
"33",2012,"106","cd","C",181
"34",2012,"106","sba","A",424
"35",2012,"106","sba","B",1427
"36",2012,"106","sba","C",391
"37",2012,"107","cd","A",524
"38",2012,"107","cd","B",1782
"39",2012,"107","cd","C",520
"40",2012,"107","sba","A",2111
"41",2012,"107","sba","B",6684
"42",2012,"107","sba","C",2509
"43",2012,"108","cd","A",424
"44",2012,"108","cd","B",1432
"45",2012,"108","cd","C",391
"46",2012,"108","sba","A",1603
"47",2012,"108","sba","B",5149
"48",2012,"108","sba","C",1555
"49",2012,"109","cd","A",1981
"50",2012,"109","cd","B",6267
"51",2012,"109","cd","C",2305
"52",2012,"109","sba","A",957
"53",2012,"109","sba","B",3167
"54",2012,"109","sba","C",817
"55",2012,"110","cd","A",1579
"56",2012,"110","cd","B",5063
"57",2012,"110","cd","C",1536
"58",2012,"110","sba","A",3803
"59",2012,"110","sba","B",10954
"60",2012,"110","sba","C",4253
"61",2012,"111","cd","A",981
"62",2012,"111","cd","B",3253
"63",2012,"111","cd","C",836
"64",2012,"112","cd","A",3698
"65",2012,"112","cd","B",10626
"66",2012,"112","cd","C",4151
"67",2012,"201","cd","A",888
"68",2012,"201","cd","B",2890
"69",2012,"201","cd","C",1042
"70",2012,"201","sba","A",1795
"71",2012,"201","sba","B",5385
"72",2012,"201","sba","C",1847
"73",2012,"202","cd","A",885
"74",2012,"202","cd","B",2471
"75",2012,"202","cd","C",805
"76",2012,"202","sba","A",2778
"77",2012,"202","sba","B",7900
"78",2012,"202","sba","C",2247
"79",2012,"203","cd","A",1057
"80",2012,"203","cd","B",2969
"81",2012,"203","cd","C",951
"82",2012,"203","sba","A",3603
"83",2012,"203","sba","B",10038
"84",2012,"203","sba","C",2775
"85",2012,"204","cd","A",3839
"86",2012,"204","cd","B",10462
"87",2012,"204","cd","C",2901
"88",2012,"204","sba","A",3261
"89",2012,"204","sba","B",8509
"90",2012,"204","sba","C",2507
"91",2012,"205","cd","A",3058
"92",2012,"205","cd","B",8100
"93",2012,"205","cd","C",2366
"94",2012,"205","sba","A",2745
"95",2012,"205","sba","B",7729
"96",2012,"205","sba","C",2225
"97",2012,"206","cd","A",1769
"98",2012,"206","cd","B",5130
"99",2012,"206","cd","C",1371
"100",2012,"206","sba","A",911
"101",2012,"206","sba","B",2335
"102",2012,"206","sba","C",683
"103",2012,"207","cd","A",2888
"104",2012,"207","cd","B",8160
"105",2012,"207","cd","C",2363
"106",2012,"207","sba","A",1846
"107",2012,"207","sba","B",6168
"108",2012,"207","sba","C",1606
"109",2012,"208","cd","A",794
"110",2012,"208","cd","B",2027
"111",2012,"208","cd","C",599
"112",2012,"208","sba","A",151
"113",2012,"208","sba","B",517
"114",2012,"208","sba","C",175
"115",2012,"209","cd","A",1810
"116",2012,"209","cd","B",5984
"117",2012,"209","cd","C",1542
"118",2012,"209","sba","A",1088
"119",2012,"209","sba","B",3194
"120",2012,"209","sba","C",889
"121",2012,"210","cd","A",213
"122",2012,"210","cd","B",749
"123",2012,"210","cd","C",235
"124",2012,"210","sba","A",1234
"125",2012,"210","sba","B",3475
"126",2012,"210","sba","C",1096
"127",2012,"211","cd","A",1046
"128",2012,"211","cd","B",2991
"129",2012,"211","cd","C",850
"130",2012,"212","cd","A",1292
"131",2012,"212","cd","B",3749
"132",2012,"212","cd","C",1159
"133",2012,"301","cd","A",714
"134",2012,"301","cd","B",2323
"135",2012,"301","cd","C",603
"136",2012,"301","sba","A",642
"137",2012,"301","sba","B",2089
"138",2012,"301","sba","C",557
"139",2012,"302","cd","A",399
"140",2012,"302","cd","B",1274
"141",2012,"302","cd","C",407
"142",2012,"302","sba","A",530
"143",2012,"302","sba","B",1672
"144",2012,"302","sba","C",528
"145",2012,"303","cd","A",2015
"146",2012,"303","cd","B",7165
"147",2012,"303","cd","C",2742
"148",2012,"303","sba","A",1744
"149",2012,"303","sba","B",6203
"150",2012,"303","sba","C",2425
"151",2012,"304","cd","A",1665
"152",2012,"304","cd","B",5997
"153",2012,"304","cd","C",2027
"154",2012,"304","sba","A",1724
"155",2012,"304","sba","B",6214
"156",2012,"304","sba","C",2061
"157",2012,"305","cd","A",1413
"158",2012,"305","cd","B",6648
"159",2012,"305","cd","C",2676
"160",2012,"305","sba","A",1000
"161",2012,"305","sba","B",4679
"162",2012,"305","sba","C",1980
"163",2012,"306","cd","A",315
"164",2012,"306","cd","B",912
"165",2012,"306","cd","C",428
"166",2012,"306","sba","A",327
"167",2012,"306","sba","B",956
"168",2012,"306","sba","C",457
"169",2012,"307","cd","A",965
"170",2012,"307","cd","B",2356
"171",2012,"307","cd","C",823
"172",2012,"307","sba","A",1110
"173",2012,"307","sba","B",2704
"174",2012,"307","sba","C",954
"175",2012,"308","cd","A",1905
"176",2012,"308","cd","B",5974
"177",2012,"308","cd","C",1950
"178",2012,"308","sba","A",2373
"179",2012,"308","sba","B",7236
"180",2012,"308","sba","C",2412
"181",2012,"309","cd","A",1845
"182",2012,"309","cd","B",5235
"183",2012,"309","cd","C",1552
"184",2012,"309","sba","A",2126
"185",2012,"309","sba","B",6303
"186",2012,"309","sba","C",1795
"187",2012,"310","cd","A",400
"188",2012,"310","cd","B",1067
"189",2012,"310","cd","C",313
"190",2012,"310","sba","A",373
"191",2012,"310","sba","B",1031
"192",2012,"310","sba","C",298
